,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Daylight,CodeSum_BR,CodeSum_DZ,CodeSum_DZ BR,CodeSum_RA,CodeSum_RA BR,CodeSum_RA DZ,CodeSum_RA DZ BR,CodeSum_TS,CodeSum_TS BR,CodeSum_TS RA,CodeSum_TS RA BR
374,2008-05-04,65,38,52,-2,34,45,13,0,0.0,29.31,30.02,5.6,24,6.3,1408,0,0,0,0,0,0,0,0,0,0,0
376,2008-05-05,75,50,63,8,38,50,2,0,0.0,29.27,29.99,4.4,26,7.0,1410,0,0,0,0,0,0,0,0,0,0,0
378,2008-05-06,81,46,64,9,44,55,1,0,0.0,29.16,29.88,6.3,22,7.1,1413,0,0,0,0,0,0,0,0,0,0,0
380,2008-05-07,70,49,60,5,52,56,5,0,0.76,28.97,29.69,3.5,23,12.3,1415,0,0,0,0,1,0,0,0,0,0,0
382,2008-05-08,59,45,52,-4,35,44,13,0,0.0,29.08,29.82,12.2,5,12.6,1418,0,0,0,0,0,0,0,0,0,0,0
384,2008-05-09,58,41,50,-6,34,43,15,0,0.0,29.15,29.85,6.3,3,6.9,1420,0,0,0,0,0,0,0,0,0,0,0
386,2008-05-10,61,38,50,-6,37,45,15,0,0.0,29.08,29.85,5.9,7,6.3,1422,0,0,0,0,0,0,0,0,0,0,0
388,2008-05-11,58,46,52,-5,43,47,13,0,0.95,28.85,29.55,14.5,2,17.7,1424,0,0,0,0,1,0,0,0,0,0,0
390,2008-05-12,56,40,48,-9,38,43,17,0,0.0,29.26,29.96,5.1,7,7.8,1466,0,0,0,0,0,0,0,0,0,0,0
392,2008-05-13,73,40,57,-1,45,51,8,0,0.08,29.2,29.93,15.5,18,15.9,1468,0,0,0,1,0,0,0,0,0,0,0
394,2008-05-14,64,45,55,-3,48,52,10,0,0.02,29.19,29.89,2.0,25,9.6,1470,0,0,1,0,0,0,0,0,0,0,0
396,2008-05-15,57,43,50,-8,37,45,15,0,0.0,29.33,30.05,6.8,5,7.9,1472,0,0,0,0,0,0,0,0,0,0,0
398,2008-05-16,73,40,57,-2,41,50,8,0,0.0,29.1,29.86,8.9,25,9.4,1474,0,0,0,0,0,0,0,0,0,0,0
400,2008-05-17,73,52,63,4,41,52,2,0,0.12,28.87,29.61,12.9,30,14.7,1476,0,0,0,1,0,0,0,0,0,0,0
402,2008-05-18,55,44,50,-10,39,45,15,0,0.0,28.93,29.64,3.5,34,8.2,1478,0,0,0,0,0,0,0,0,0,0,0
404,2008-05-19,60,40,50,-10,33,43,15,0,0.0,28.96,29.69,3.9,7,5.7,1480,0,0,0,1,0,0,0,0,0,0,0
406,2008-05-20,66,47,57,-4,37,47,8,0,0.0,28.94,29.66,7.3,31,9.2,1482,0,0,0,0,0,0,0,0,0,0,0
408,2008-05-21,66,41,54,-7,36,46,11,0,0.0,29.0,29.7,7.2,32,9.2,1484,0,0,0,0,0,0,0,0,0,0,0
410,2008-05-22,59,45,52,-9,38,45,13,0,0.0,29.24,29.94,8.8,5,9.8,1486,0,0,0,0,0,0,0,0,0,0,0
412,2008-05-23,57,46,52,-9,39,45,13,0,0.0,29.41,30.12,10.7,3,10.9,1487,0,0,0,0,0,0,0,0,0,0,0
414,2008-05-24,67,40,54,-8,40,48,11,0,0.0,29.44,30.18,7.4,7,8.4,1489,0,0,0,0,0,0,0,0,0,0,0
416,2008-05-25,78,44,61,-1,50,57,4,0,0.0,29.18,29.93,10.3,18,11.9,1491,0,0,0,0,0,0,0,0,0,0,0
418,2008-05-26,81,47,64,2,60,64,1,0,0.48,29.11,29.81,6.2,25,11.8,1493,0,0,0,0,1,0,0,0,0,0,0
420,2008-05-27,50,42,46,-16,35,42,19,0,0.0,29.5,30.19,19.2,3,19.3,1494,0,0,0,0,0,0,0,0,0,0,0
422,2008-05-28,62,43,53,-10,32,43,12,0,0.0,29.6,30.34,8.2,6,8.7,1495,0,0,0,0,0,0,0,0,0,0,0
424,2008-05-29,67,42,55,-9,37,47,10,0,0.01,29.39,30.16,3.5,11,4.2,1496,0,0,0,1,0,0,0,0,0,0,0
426,2008-05-30,77,55,66,2,59,62,0,1,0.4,29.03,29.79,8.4,21,10.4,1498,0,0,0,0,1,0,0,0,0,0,0
428,2008-05-31,79,59,69,5,56,62,0,4,0.0,29.1,29.8,10.8,28,11.9,1499,0,0,0,0,0,0,0,0,0,0,0
430,2008-06-01,74,53,64,0,47,55,1,0,0.0,29.23,29.95,4.6,10,5.4,1501,0,0,0,0,0,0,0,0,0,0,0
432,2008-06-02,86,56,71,7,52,60,0,6,0.0,29.16,29.89,1.9,8,4.8,1501,0,0,0,1,0,0,0,0,0,0,0
434,2008-06-03,69,55,62,-2,55,57,3,0,0.52,28.97,29.69,7.3,4,9.2,1503,0,0,0,0,1,0,0,0,0,0,0
436,2008-06-04,78,54,66,2,59,61,0,1,0.0,28.9,29.62,4.5,4,5.2,1504,0,0,1,0,0,0,0,0,0,0,0
438,2008-06-05,87,60,74,9,68,71,0,9,0.64,29.0,29.7,11.5,20,14.0,1506,1,0,0,0,0,0,0,0,0,0,0
440,2008-06-06,87,73,80,14,68,72,0,15,0.0,29.07,29.76,21.1,20,21.5,1506,0,0,0,1,0,0,0,0,0,0,0
442,2008-06-07,85,69,77,11,71,73,0,12,0.11,29.16,29.86,12.5,19,13.2,1507,0,0,0,0,0,0,0,0,0,0,1
444,2008-06-08,85,64,75,9,68,70,0,10,1.24,29.11,29.81,6.5,18,12.2,1508,0,0,0,0,0,0,0,0,0,1,0
446,2008-06-09,74,65,70,4,64,66,0,5,0.14,29.1,29.82,6.3,22,7.7,1509,0,0,0,0,1,0,0,0,0,0,0
448,2008-06-10,79,59,69,2,56,61,0,4,0.0,29.18,29.89,8.8,25,9.6,1510,0,0,0,1,0,0,0,0,0,0,0
450,2008-06-11,86,61,74,7,56,64,0,9,0.0,29.28,29.99,8.9,18,10.0,1510,0,0,0,0,0,0,0,0,0,0,0
452,2008-06-12,91,73,82,14,63,69,0,17,0.0,29.2,29.9,16.1,18,16.3,1511,0,0,0,0,0,0,0,0,0,0,0
454,2008-06-13,82,65,74,6,62,66,0,9,0.39,29.21,29.92,8.9,22,9.9,1511,0,0,0,0,1,0,0,0,0,0,0
456,2008-06-14,84,59,72,4,53,61,0,7,0.0,29.23,29.94,8.3,24,8.8,1512,0,0,0,0,0,0,0,0,0,0,0
458,2008-06-15,81,61,71,3,60,64,0,6,0.18,29.15,29.84,8.1,24,9.8,1512,0,0,0,1,0,0,0,0,0,0,0
460,2008-06-16,72,59,66,-3,49,57,0,1,0.0,29.2,29.91,10.7,31,11.2,1513,0,0,0,0,0,0,0,0,0,0,0
462,2008-06-17,76,55,66,-3,46,55,0,1,0.0,29.26,29.97,10.7,30,11.2,1513,0,0,0,0,0,0,0,0,0,0,0
464,2008-06-18,77,56,67,-3,48,56,0,2,0.0,29.21,29.92,4.8,3,7.3,1513,0,0,0,0,0,0,0,0,0,0,0
466,2008-06-19,81,52,67,-3,46,56,0,2,0.0,29.21,29.93,1.8,25,5.1,1514,0,0,0,0,0,0,0,0,0,0,0
468,2008-06-20,82,58,70,0,53,60,0,5,0.09,29.25,29.96,6.7,22,7.9,1514,0,0,0,1,0,0,0,0,0,0,0
470,2008-06-21,82,61,72,2,52,61,0,7,0.01,29.24,29.95,7.1,29,7.8,1514,0,0,0,0,0,0,0,0,0,0,0
472,2008-06-22,82,57,70,0,52,59,0,5,0.16,29.18,29.89,2.9,31,5.1,1514,0,0,0,0,0,0,0,1,0,0,0
474,2008-06-23,77,56,67,-3,54,59,0,2,0.0,29.33,30.04,3.9,4,6.4,1514,0,0,0,0,0,0,0,0,0,0,0
476,2008-06-24,82,55,69,-2,53,60,0,4,0.0,29.44,30.15,5.1,18,5.8,1514,0,0,0,0,0,0,0,0,0,0,0
478,2008-06-25,79,66,73,2,64,67,0,8,0.08,29.28,29.99,8.0,22,9.3,1514,0,0,0,1,0,0,0,0,0,0,0
480,2008-06-26,86,70,78,7,66,70,0,13,0.0,29.15,29.86,6.3,26,7.3,1513,1,0,0,0,0,0,0,0,0,0,0
482,2008-06-27,84,66,75,4,67,70,0,10,0.0,29.05,29.76,6.7,22,7.4,1513,0,0,0,1,0,0,0,0,0,0,0
484,2008-06-28,83,64,74,3,55,63,0,9,0.04,28.98,29.69,12.1,25,13.2,1512,0,0,0,0,0,0,0,0,0,0,0
486,2008-06-29,75,60,68,-3,58,61,0,3,0.58,29.08,29.77,7.3,31,9.7,1512,0,0,0,0,1,0,0,0,0,0,0
488,2008-06-30,80,59,70,-2,50,58,0,5,0.0,29.28,29.98,6.0,34,9.6,1512,0,0,0,0,0,0,0,0,0,0,0
490,2008-07-01,83,58,71,-1,51,60,0,6,0.0,29.24,29.97,8.1,24,8.0,1511,0,0,0,0,0,0,0,0,0,0,0
492,2008-07-02,87,63,75,3,62,66,0,10,0.2,29.09,29.79,8.7,23,13.2,1511,0,0,0,0,0,0,0,0,0,0,1
494,2008-07-03,71,55,63,-9,51,57,2,0,0.0,29.34,30.04,11.6,3,12.0,1510,0,0,0,0,0,0,0,0,0,0,0
496,2008-07-04,76,52,64,-8,50,57,1,0,0.0,29.35,30.06,6.0,5,6.6,1508,0,0,0,0,0,0,0,0,0,0,0
498,2008-07-05,80,54,67,-5,52,59,0,2,0.0,29.31,30.03,4.6,7,7.0,1508,0,0,0,0,0,0,0,0,0,0,0
500,2008-07-06,87,59,73,1,57,65,0,8,0.0,29.21,29.94,9.3,19,9.4,1507,0,0,0,0,0,0,0,0,0,0,0
502,2008-07-07,87,71,79,7,67,71,0,14,0.03,29.16,29.87,10.9,22,11.9,1507,0,0,0,1,0,0,0,0,0,0,0
504,2008-07-08,85,70,78,5,67,71,0,13,0.03,29.1,29.81,7.8,26,9.1,1505,0,0,0,0,0,0,0,0,0,0,0
506,2008-07-09,85,67,76,3,55,63,0,11,0.0,29.26,29.95,9.5,31,10.3,1504,0,0,0,0,0,0,0,0,0,0,0
508,2008-07-10,82,64,73,0,63,66,0,8,0.72,29.26,29.99,8.5,23,9.2,1504,0,0,0,0,1,0,0,0,0,0,0
510,2008-07-11,88,64,76,3,65,69,0,11,0.34,29.23,29.97,5.2,20,8.4,1502,0,0,0,0,1,0,0,0,0,0,0
512,2008-07-12,81,65,73,0,63,66,0,8,0.73,29.19,29.89,7.7,26,10.3,1501,0,0,0,0,0,0,0,0,0,0,1
514,2008-07-13,79,62,71,-2,54,61,0,6,0.0,29.12,29.84,12.1,27,12.4,1499,0,0,0,0,0,0,0,0,0,0,0
516,2008-07-14,84,62,73,0,54,62,0,8,0.0,29.22,29.92,4.5,29,7.8,1499,0,0,0,0,0,0,0,0,0,0,0
518,2008-07-15,90,61,76,2,62,68,0,11,0.0,29.3,30.0,6.8,23,7.4,1497,0,0,0,0,0,0,0,0,0,0,0
520,2008-07-16,90,71,81,7,66,70,0,16,0.0,29.39,30.09,5.0,23,7.2,1495,0,0,0,0,0,0,0,0,0,0,0
522,2008-07-17,89,71,80,6,66,71,0,15,0.0,29.33,30.05,8.6,22,9.0,1494,0,0,0,0,0,0,0,0,0,0,0
524,2008-07-18,86,74,80,6,68,72,0,15,0.04,29.24,29.95,2.6,22,5.4,1492,0,0,0,1,0,0,0,0,0,0,0
526,2008-07-19,78,67,73,-1,68,69,0,8,1.61,29.19,29.91,2.0,33,5.8,1490,0,0,0,0,1,0,0,0,0,0,0
528,2008-07-20,86,68,77,3,68,71,0,12,0.74,29.2,29.91,4.5,25,5.7,1490,0,0,0,0,0,0,0,0,0,0,0
530,2008-07-21,83,68,76,2,65,68,0,11,0.13,29.21,29.92,3.3,3,7.4,1488,0,0,0,1,0,0,0,0,0,0,0
532,2008-07-22,77,63,70,-4,59,64,0,5,0.0,29.31,30.0,8.2,3,8.7,1486,0,0,0,0,0,0,0,0,0,0,0
534,2008-07-23,81,60,71,-3,52,60,0,6,0.0,29.39,30.1,7.6,2,8.5,1484,0,0,0,0,0,0,0,0,0,0,0
536,2008-07-24,82,59,71,-3,53,61,0,6,0.0,29.33,30.05,3.9,24,4.4,1482,0,0,0,0,0,0,0,0,0,0,0
538,2008-07-25,82,61,72,-2,63,67,0,7,0.0,29.26,29.99,5.5,23,6.9,1480,0,0,0,0,0,0,0,0,0,0,0
540,2008-07-26,84,65,75,1,58,65,0,10,0.0,29.22,29.94,8.5,31,9.1,1479,1,0,0,0,0,0,0,0,0,0,0
542,2008-07-27,83,62,73,-1,58,64,0,8,0.0,29.16,29.89,5.9,24,6.7,1477,0,0,0,0,0,0,0,0,0,0,0
544,2008-07-28,85,66,76,2,63,67,0,11,0.0,29.16,29.87,4.0,7,6.1,1475,0,0,0,0,0,0,0,0,0,0,0
546,2008-07-29,88,65,77,3,67,70,0,12,0.05,29.14,29.85,6.4,20,7.9,1473,0,0,0,1,0,0,0,0,0,0,0
548,2008-07-30,89,72,81,7,65,70,0,16,0.0,29.04,29.75,7.8,27,8.6,1471,0,0,0,0,0,0,0,0,0,0,0
550,2008-07-31,89,72,81,7,67,70,0,16,0.14,29.06,29.76,4.9,27,5.8,1469,0,0,0,0,1,0,0,0,0,0,0
552,2008-08-01,89,68,79,6,68,72,0,14,1.05,29.09,29.79,3.1,31,5.7,1466,0,0,0,1,0,0,0,0,0,0,0
554,2008-08-02,81,65,73,0,59,65,0,8,0.0,29.24,29.93,8.4,3,9.2,1464,0,0,0,0,0,0,0,0,0,0,0
556,2008-08-03,84,61,73,0,61,66,0,8,0.0,29.24,29.96,5.3,18,6.0,1462,0,0,0,0,0,0,0,0,0,0,0
558,2008-08-04,87,70,79,6,68,70,0,14,2.43,29.18,29.9,3.1,18,9.0,1460,0,0,0,0,0,0,0,0,0,0,1
560,2008-08-05,87,69,78,5,67,71,0,13,0.0,29.24,29.93,6.2,31,7.4,1458,0,0,0,0,0,0,0,0,0,0,0
562,2008-08-06,84,67,76,3,60,66,0,11,0.0,29.29,30.0,6.8,30,8.1,1456,0,0,0,0,0,0,0,0,0,0,0
564,2008-08-07,82,64,73,0,56,63,0,8,0.0,29.26,29.98,7.8,34,9.4,1453,0,0,0,0,0,0,0,0,0,0,0
566,2008-08-08,79,63,71,-2,54,61,0,6,0.0,29.29,30.01,4.5,2,7.4,1451,0,0,0,0,0,0,0,0,0,0,0
568,2008-08-09,80,62,71,-2,58,62,0,6,0.0,29.2,29.92,2.6,31,9.0,1449,0,0,0,0,0,0,0,0,0,0,0
570,2008-08-10,74,58,66,-7,52,58,0,1,0.0,29.31,30.02,8.4,2,9.0,1446,0,0,0,0,0,0,0,0,0,0,0
572,2008-08-11,77,59,68,-5,57,61,0,3,0.0,29.3,30.02,3.9,5,6.3,1404,0,0,0,0,0,0,0,0,0,0,0
574,2008-08-12,77,61,69,-4,57,62,0,4,0.0,29.17,29.9,3.3,10,3.8,1402,0,0,0,0,0,0,0,0,0,0,0
576,2008-08-13,79,66,73,0,59,63,0,8,0.06,29.11,29.84,3.0,7,4.6,1399,0,0,0,1,0,0,0,0,0,0,0
578,2008-08-14,79,63,71,-1,60,64,0,6,0.0,29.23,29.93,7.3,3,7.9,1397,1,0,0,0,0,0,0,0,0,0,0
580,2008-08-15,78,61,70,-2,54,61,0,5,0.0,29.44,30.13,6.9,3,7.9,1395,0,0,0,0,0,0,0,0,0,0,0
582,2008-08-16,83,58,71,-1,53,61,0,6,0.0,29.4,30.13,5.7,29,6.5,1352,0,0,0,0,0,0,0,0,0,0,0
584,2008-08-17,84,63,74,2,60,65,0,9,0.0,29.28,30.01,7.9,26,8.0,1350,0,0,0,0,0,0,0,0,0,0,0
586,2008-08-18,85,65,75,3,57,64,0,10,0.0,29.26,29.98,7.2,27,7.4,1347,0,0,0,0,0,0,0,0,0,0,0
588,2008-08-19,82,63,73,2,64,67,0,8,0.0,29.38,30.08,5.9,4,6.7,1345,0,0,0,0,0,0,0,0,0,0,0
590,2008-08-20,81,65,73,2,60,65,0,8,0.0,29.4,30.12,6.0,9,7.4,1342,0,0,0,0,0,0,0,0,0,0,0
592,2008-08-21,82,68,75,4,61,66,0,10,0.0,29.31,30.03,6.5,15,8.4,1340,0,0,0,1,0,0,0,0,0,0,0
594,2008-08-22,83,72,78,7,68,71,0,13,0.09,29.32,30.03,12.7,19,12.8,1337,1,0,0,0,0,0,0,0,0,0,0
596,2008-08-23,87,68,78,7,66,70,0,13,0.0,29.31,30.02,7.6,25,9.4,1334,1,0,0,0,0,0,0,0,0,0,0
598,2008-08-24,77,63,70,-1,57,62,0,5,0.0,29.34,30.05,7.7,3,9.7,1331,0,0,0,0,0,0,0,0,0,0,0
600,2008-08-25,74,64,69,-1,54,60,0,4,0.0,29.36,30.08,11.1,5,11.4,1329,0,0,0,0,0,0,0,0,0,0,0
602,2008-08-26,76,61,69,-1,54,60,0,4,0.0,29.29,30.03,7.7,7,8.4,1326,0,0,0,0,0,0,0,0,0,0,0
604,2008-08-27,83,61,72,2,56,63,0,7,0.0,29.2,29.93,4.6,7,5.9,1323,0,0,0,0,0,0,0,0,0,0,0
606,2008-08-28,80,63,72,2,64,67,0,7,0.06,29.1,29.82,5.7,19,6.7,1321,0,0,0,0,1,0,0,0,0,0,0
608,2008-08-29,85,64,75,5,58,65,0,10,0.04,29.24,29.93,3.5,35,6.5,1318,0,0,0,0,1,0,0,0,0,0,0
610,2008-08-30,87,56,72,2,55,62,0,7,0.0,29.39,30.09,2.6,24,3.8,1316,0,0,0,0,0,0,0,0,0,0,0
612,2008-08-31,90,60,75,6,56,64,0,10,0.0,29.41,30.13,4.8,13,5.4,1313,0,0,0,0,0,0,0,0,0,0,0
614,2008-09-01,90,62,76,8,54,63,0,11,0.0,29.37,30.09,7.0,14,7.7,1310,0,0,0,0,0,0,0,0,0,0,0
616,2008-09-02,94,65,80,12,61,68,0,15,0.0,29.31,30.02,3.2,21,4.4,1308,0,0,0,0,0,0,0,1,0,0,0
618,2008-09-03,77,66,72,4,60,64,0,7,0.02,29.31,30.02,9.8,1,10.4,1305,0,0,0,0,0,0,0,0,0,0,0
620,2008-09-04,67,61,64,-4,61,62,1,0,2.9,29.08,29.82,11.6,3,12.4,1302,0,0,0,0,1,0,0,0,0,0,0
622,2008-09-05,70,57,64,-3,56,59,1,0,0.0,29.22,29.93,5.9,34,6.9,1300,0,0,0,0,0,0,0,0,0,0,0
624,2008-09-06,74,53,64,-3,54,58,1,0,0.01,29.28,29.98,4.9,27,5.3,1297,1,0,0,0,0,0,0,0,0,0,0
626,2008-09-07,74,55,65,-2,51,57,0,0,0.0,29.35,30.06,6.4,26,6.6,1294,0,0,0,0,0,0,0,0,0,0,0
628,2008-09-08,67,52,60,-6,52,55,5,0,1.23,29.41,30.11,4.6,34,6.2,1291,0,0,0,0,1,0,0,0,0,0,0
630,2008-09-09,69,49,59,-7,45,52,6,0,0.0,29.45,30.17,3.9,36,6.4,1289,0,0,0,0,0,0,0,0,0,0,0
632,2008-09-10,72,48,60,-6,48,54,5,0,0.0,29.47,30.21,4.3,14,5.1,1286,0,0,0,0,0,0,0,0,0,0,0
634,2008-09-11,79,55,67,2,57,61,0,2,0.0,29.33,30.08,8.9,18,9.8,1283,0,0,0,0,1,0,0,0,0,0,0
636,2008-09-12,73,69,71,6,67,68,0,6,0.37,29.22,29.96,6.0,22,6.8,1281,0,0,0,0,0,0,1,0,0,0,0
638,2008-09-13,75,68,72,7,69,70,0,7,6.64,28.97,29.71,6.4,21,9.1,1278,0,0,0,0,1,0,0,0,0,0,0
640,2008-09-14,72,58,65,1,61,62,0,0,1.44,28.97,29.67,7.7,31,10.1,1275,0,0,0,0,1,0,0,0,0,0,0
642,2008-09-15,63,53,58,-6,51,55,7,0,0.0,29.41,30.1,5.7,34,6.1,1272,0,0,0,0,0,0,0,0,0,0,0
644,2008-09-16,71,49,60,-4,50,55,5,0,0.0,29.47,30.19,5.3,23,5.8,1228,0,0,0,0,0,0,0,0,0,0,0
646,2008-09-17,82,57,70,6,56,60,0,5,0.0,29.46,30.18,2.1,29,7.0,1225,0,0,0,0,0,0,0,0,0,0,0
648,2008-09-18,74,56,65,1,55,60,0,0,0.0,29.56,30.28,6.1,9,7.2,1221,0,0,0,0,0,0,0,0,0,0,0
650,2008-09-19,77,54,66,3,54,59,0,1,0.0,29.47,30.2,5.8,19,6.0,1219,0,0,0,0,0,0,0,0,0,0,0
652,2008-09-20,82,56,69,7,57,61,0,4,0.0,29.46,30.17,1.7,16,2.9,1216,0,0,0,0,0,0,0,0,0,0,0
654,2008-09-21,80,58,69,7,61,64,0,4,0.0,29.55,30.26,3.8,5,4.2,1213,1,0,0,0,0,0,0,0,0,0,0
656,2008-09-22,81,61,71,9,59,64,0,6,0.0,29.59,30.31,6.9,11,8.0,1210,1,0,0,0,0,0,0,0,0,0,0
658,2008-09-23,82,59,71,10,57,62,0,6,0.0,29.56,30.29,7.0,15,7.7,1208,0,0,0,0,0,0,0,0,0,0,0
660,2008-09-24,82,57,70,9,59,63,0,5,0.2,29.54,30.27,2.6,23,4.6,1205,0,0,0,0,0,0,0,0,1,0,0
662,2008-09-25,77,63,70,9,61,64,0,5,0.0,29.54,30.27,6.9,4,7.5,1202,1,0,0,0,0,0,0,0,0,0,0
664,2008-09-26,79,59,69,9,55,60,0,4,0.0,29.42,30.16,3.0,6,4.3,1199,1,0,0,0,0,0,0,0,0,0,0
666,2008-09-27,81,53,67,7,54,60,0,2,0.0,29.33,30.06,1.0,3,2.7,1197,1,0,0,0,0,0,0,0,0,0,0
668,2008-09-28,68,57,63,4,57,60,2,0,0.0,29.41,30.13,7.2,4,7.8,1194,0,0,0,0,0,0,0,0,0,0,0
670,2008-09-29,64,54,59,0,55,57,6,0,0.82,29.26,30.0,3.5,33,4.8,1191,0,0,0,0,1,0,0,0,0,0,0
672,2008-09-30,59,48,54,-5,44,49,11,0,0.0,29.21,29.95,11.4,31,11.5,1188,0,0,0,0,0,0,0,0,0,0,0
674,2008-10-01,61,46,54,-4,40,47,11,0,0.0,29.24,29.97,11.2,33,11.1,1186,0,0,0,0,0,0,0,0,0,0,0
676,2008-10-02,61,42,52,-6,40,47,13,0,0.0,29.18,29.91,8.7,28,9.2,1183,0,0,0,0,0,0,0,0,0,0,0
678,2008-10-03,60,44,52,-5,42,47,13,0,0.01,29.34,30.05,6.5,3,7.7,1180,0,0,0,1,0,0,0,0,0,0,0
680,2008-10-04,61,38,50,-7,38,45,15,0,0.0,29.51,30.23,3.2,11,4.4,1177,0,0,0,0,0,0,0,0,0,0,0
682,2008-10-05,61,41,51,-6,43,48,14,0,0.06,29.51,30.25,5.6,11,6.6,1174,0,0,0,1,0,0,0,0,0,0,0
684,2008-10-06,69,54,62,6,47,54,3,0,0.0,29.49,30.23,10.5,11,10.7,1171,0,0,0,0,0,0,0,0,0,0,0
686,2008-10-07,63,56,60,4,52,56,5,0,0.8,29.24,30.01,10.3,13,11.3,1169,0,0,0,0,1,0,0,0,0,0,0
688,2008-10-08,64,50,57,1,51,54,8,0,0.19,29.13,29.85,7.5,26,8.1,1166,0,0,0,0,1,0,0,0,0,0,0
690,2008-10-09,69,47,58,3,38,49,7,0,0.0,29.36,30.05,5.5,29,5.8,1163,0,0,0,0,0,0,0,0,0,0,0
692,2008-10-10,72,42,57,2,42,50,8,0,0.0,29.47,30.18,4.8,11,6.7,1161,0,0,0,0,0,0,0,0,0,0,0
694,2008-10-11,79,51,65,11,50,57,0,0,0.0,29.52,30.24,4.2,14,5.0,1158,0,0,0,0,0,0,0,0,0,0,0
696,2008-10-12,84,57,71,17,56,61,0,6,0.0,29.55,30.27,4.3,15,5.1,1115,1,0,0,0,0,0,0,0,0,0,0
698,2008-10-13,77,61,69,16,58,63,0,4,0.0,29.47,30.21,7.7,20,8.1,1112,0,0,0,0,0,0,0,0,0,0,0
700,2008-10-14,69,53,61,8,43,51,4,0,0.0,29.49,30.22,2.0,30,6.8,1109,0,0,0,1,0,0,0,0,0,0,0
702,2008-10-15,63,47,55,2,50,53,10,0,0.3,29.34,30.06,4.2,32,6.3,1107,0,0,0,0,1,0,0,0,0,0,0
704,2008-10-16,59,43,51,-1,38,44,14,0,0.0,29.52,30.25,6.1,35,7.5,1104,0,0,0,0,0,0,0,0,0,0,0
706,2008-10-17,57,43,50,-2,39,44,15,0,0.0,29.53,30.26,6.2,36,7.2,1101,0,0,0,0,0,0,0,0,0,0,0
708,2008-10-18,60,43,52,1,40,45,13,0,0.05,29.58,30.32,2.1,7,6.1,1099,0,0,0,0,1,0,0,0,0,0,0
710,2008-10-19,62,40,51,0,37,45,14,0,0.0,29.49,30.24,12.0,19,12.4,1096,0,0,0,0,0,0,0,0,0,0,0
712,2008-10-20,55,43,49,-1,42,46,16,0,0.18,29.48,30.21,4.0,31,7.6,1093,0,0,0,0,1,0,0,0,0,0,0
714,2008-10-21,55,38,47,-3,35,42,18,0,0.0,29.64,30.37,7.1,2,8.7,1090,0,0,0,0,0,0,0,0,0,0,0
716,2008-10-22,52,35,44,-6,30,40,21,0,0.0,29.65,30.39,12.1,12,13.1,1048,0,0,0,0,0,0,0,0,0,0,0
718,2008-10-23,58,41,50,1,36,44,15,0,0.16,29.5,30.27,11.5,12,11.8,1045,0,0,0,1,0,0,0,0,0,0,0
720,2008-10-24,54,44,49,0,44,47,16,0,0.32,29.18,29.96,5.3,19,6.1,1043,0,0,0,0,1,0,0,0,0,0,0
722,2008-10-25,53,43,48,0,40,44,17,0,0.0,29.02,29.77,11.9,22,12.3,1040,0,0,0,0,0,0,1,0,0,0,0
724,2008-10-26,56,37,47,-1,32,41,18,0,0.0,29.1,29.8,17.2,27,17.8,1037,0,0,0,1,0,0,0,0,0,0,0
726,2008-10-27,47,33,40,-8,27,35,25,0,0.0,29.51,30.2,13.7,31,14.4,1035,0,0,0,0,0,0,0,0,0,0,0
728,2008-10-28,45,31,38,-9,23,33,27,0,0.0,29.54,30.29,10.5,30,10.9,1032,0,0,0,0,0,0,0,0,0,0,0
730,2008-10-29,51,32,42,-5,24,34,23,0,0.0,29.47,30.21,3.7,32,6.2,1030,0,0,0,0,0,0,0,0,0,0,0
732,2008-10-30,62,31,47,1,32,41,18,0,0.0,29.57,30.31,10.5,19,10.4,1027,0,0,0,0,0,0,0,0,0,0,0
734,2008-10-31,70,48,59,13,46,51,6,0,0.0,29.57,30.3,5.7,22,7.4,1024,0,0,0,0,0,0,0,0,0,0,0
736,2009-05-01,60,46,53,0,40,47,12,0,0.02,29.26,29.98,8.4,29,8.5,1401,0,0,0,1,0,0,0,0,0,0,0
738,2009-05-02,66,44,55,1,33,45,10,0,0.0,29.21,29.94,8.8,26,9.2,1403,0,0,0,0,0,0,0,0,0,0,0
740,2009-05-03,70,43,57,3,34,47,8,0,0.0,29.19,29.92,3.9,26,4.9,1405,0,0,0,0,0,0,0,0,0,0,0
742,2009-05-04,70,43,57,3,34,47,8,0,0.0,29.31,30.02,6.5,9,7.6,1408,0,0,0,0,0,0,0,0,0,0,0
744,2009-05-05,71,49,60,5,40,50,5,0,0.0,29.22,29.95,5.5,13,6.0,1410,0,0,0,0,0,0,0,0,0,0,0
746,2009-05-06,75,51,63,8,51,55,2,0,0.67,29.05,29.79,6.5,19,8.1,1413,0,0,0,0,1,0,0,0,0,0,0
748,2009-05-07,77,56,67,12,52,57,0,2,0.19,29.01,29.73,8.5,25,10.3,1415,0,0,0,0,1,0,0,0,0,0,0
750,2009-05-08,77,53,65,9,53,58,0,0,0.02,28.94,29.68,4.9,21,6.0,1418,0,0,0,1,0,0,0,0,0,0,0
752,2009-05-09,63,46,55,-1,44,48,10,0,0.0,29.19,29.87,6.8,29,11.8,1420,0,0,0,0,0,0,0,0,0,0,0
